pID,trial,bin_n,target,nontarget,centre,trial_ID,pair_type,target_loc
001,1,1,1090,0,213,58,3,2
001,1,2,700,1290,10,58,3,2
001,1,3,630,1360,10,58,3,2
001,1,4,2000,0,0,58,3,2
001,1,5,1626,0,363,58,3,2
001,2,1,867,917,207,34,2,1
001,2,2,1016,963,0,34,2,1
001,2,3,2000,0,0,34,2,1
001,2,4,1503,477,17,34,2,1
001,2,5,547,1406,13,34,2,1
001,3,1,223,1576,200,27,2,2
001,3,2,590,1396,7,27,2,2
001,3,3,1350,637,0,27,2,2
001,3,4,667,1320,10,27,2,2
001,3,5,1420,263,10,27,2,2
001,4,1,1816,0,183,26,2,1
001,4,2,450,1536,0,26,2,1
001,4,3,1560,427,0,26,2,1
001,4,4,2000,0,0,26,2,1
001,4,5,2000,0,0,26,2,1
001,5,1,1263,500,230,54,3,2
001,5,2,1033,957,10,54,3,2
001,5,3,93,1613,260,54,3,2
001,5,4,1936,50,10,54,3,2
001,5,5,0,2000,0,54,3,2
001,6,1,1037,763,197,47,3,1
001,6,2,1160,807,13,47,3,1
001,6,3,0,2000,0,47,3,1
001,6,4,0,2000,0,47,3,1
001,6,5,727,1256,0,47,3,1
001,7,1,1613,197,190,56,3,2
001,7,2,1976,0,0,56,3,2
001,7,3,2000,0,0,56,3,2
001,7,4,2000,0,0,56,3,2
001,7,5,137,1846,10,56,3,2
001,8,1,0,1676,323,31,2,2
001,8,2,1896,93,10,31,2,2
001,8,3,240,1750,10,31,2,2
001,8,4,550,1436,0,31,2,2
001,8,5,2000,0,0,31,2,2
001,9,1,973,850,170,3,1,1
001,9,2,200,1790,10,3,1,1
001,9,3,0,1790,0,3,1,1
001,9,4,637,983,0,3,1,1
001,9,5,2000,0,0,3,1,1
001,10,1,723,1083,190,4,1,2
001,10,2,1017,963,20,4,1,2
001,10,3,2000,0,0,4,1,2
001,10,4,2000,0,0,4,1,2
001,10,5,1336,650,0,4,1,2
001,11,1,760,1053,180,50,3,2
001,11,2,1436,527,17,50,3,2
001,11,3,0,2000,0,50,3,2
001,11,4,0,1786,0,50,3,2
001,11,5,0,2000,0,50,3,2
001,12,1,863,823,153,36,2,1
001,12,2,0,2000,0,36,2,1
001,12,3,1436,487,30,36,2,1
001,12,4,1646,0,0,36,2,1
001,12,5,2000,0,0,36,2,1
001,13,1,1300,487,200,40,2,1
001,13,2,1100,880,0,40,2,1
001,13,3,1910,73,0,40,2,1
001,13,4,0,2000,0,40,2,1
001,13,5,0,1806,0,40,2,1
001,14,1,217,1426,350,12,1,2
001,14,2,1923,60,0,12,1,2
001,14,3,0,2000,0,12,1,2
001,14,4,1563,423,0,12,1,2
001,14,5,2000,0,0,12,1,2
001,15,1,607,983,173,48,3,2
001,15,2,680,1296,23,48,3,2
001,15,3,1263,687,43,48,3,2
001,15,4,273,1706,13,48,3,2
001,15,5,580,1117,0,48,3,2
001,16,1,1616,0,160,9,1,1
001,16,2,2000,0,0,9,1,1
001,16,3,13,1966,7,9,1,1
001,16,4,1203,753,13,9,1,1
001,16,5,3,1143,217,9,1,1
001,17,1,1843,0,153,13,1,1
001,17,2,350,1636,7,13,1,1
001,17,3,1200,350,0,13,1,1
001,17,4,2000,0,0,13,1,1
001,17,5,463,1103,30,13,1,1
001,18,1,1630,0,43,7,1,1
001,18,2,487,1493,10,7,1,1
001,18,3,1373,610,13,7,1,1
001,18,4,450,1533,10,7,1,1
001,18,5,733,1220,13,7,1,1
001,19,1,1117,703,177,5,1,1
001,19,2,0,1786,0,5,1,1
001,19,3,1586,400,13,5,1,1
001,19,4,1586,0,393,5,1,1
001,19,5,53,1920,17,5,1,1
001,20,1,1816,0,187,42,3,1
001,20,2,267,1556,10,42,3,1
001,20,3,920,0,0,42,3,1
001,20,4,3,667,207,42,3,1
001,20,5,0,1503,0,42,3,1
001,21,1,1400,430,157,21,2,2
001,21,2,1763,0,0,21,2,2
001,21,3,2000,0,0,21,2,2
001,21,4,30,1900,0,21,2,2
001,21,5,0,1640,0,21,2,2
001,22,1,1300,480,197,38,2,1
001,22,2,0,2000,0,38,2,1
001,22,3,1123,727,7,38,2,1
001,22,4,1097,53,70,38,2,1
001,22,5,2000,0,0,38,2,1
001,23,1,733,663,290,35,2,2
001,23,2,617,1060,0,35,2,2
001,23,3,793,1190,0,35,2,2
001,23,4,2000,0,0,35,2,2
001,23,5,1106,7,0,35,2,2
001,24,1,987,883,83,11,1,1
001,24,2,1450,527,17,11,1,1
001,24,3,1736,0,0,11,1,1
001,24,4,2000,0,0,11,1,1
001,24,5,1340,240,0,11,1,1
001,25,1,1286,450,130,16,1,2
001,25,2,147,1640,27,16,1,2
001,25,3,1913,0,0,16,1,2
001,25,4,1583,330,3,16,1,2
001,25,5,0,1253,0,16,1,2
001,26,1,1057,523,233,24,2,1
001,26,2,1536,223,13,24,2,1
001,26,3,1783,0,0,24,2,1
001,26,4,1446,0,0,24,2,1
001,26,5,1750,0,0,24,2,1
001,27,1,983,743,210,55,3,1
001,27,2,1506,0,0,55,3,1
001,27,3,933,780,0,55,3,1
001,27,4,13,53,3,55,3,1
001,27,5,0,880,0,55,3,1
001,28,1,573,960,357,46,3,2
001,28,2,1103,667,13,46,3,2
001,28,3,1110,610,10,46,3,2
001,28,4,423,0,0,46,3,2
001,28,5,0,1353,0,46,3,2
001,29,1,1123,300,47,33,2,2
001,29,2,403,333,13,33,2,2
001,29,3,1430,50,0,33,2,2
001,29,4,933,1053,13,33,2,2
001,29,5,1650,0,0,33,2,2
001,30,1,760,603,163,15,1,1
001,30,2,1746,80,10,15,1,1
001,30,3,0,553,0,15,1,1
001,30,4,0,0,0,15,1,1
001,30,5,0,777,7,15,1,1
001,31,1,663,1090,73,39,2,2
001,31,2,1750,0,0,39,2,2
001,31,3,1990,10,0,39,2,2
001,31,4,717,0,0,39,2,2
001,31,5,60,923,117,39,2,2
001,32,1,173,1013,70,28,2,1
001,32,2,1233,543,0,28,2,1
001,32,3,3,1460,0,28,2,1
001,32,4,1446,0,0,28,2,1
001,32,5,577,517,0,28,2,1
001,33,1,940,460,23,52,3,2
001,33,2,1157,820,17,52,3,2
001,33,3,1956,0,0,52,3,2
001,33,4,2000,0,0,52,3,2
001,33,5,1586,0,0,52,3,2
001,34,1,337,1556,50,2,1,2
001,34,2,1100,887,10,2,1,2
001,34,3,0,2000,0,2,1,2
001,34,4,0,1993,0,2,1,2
001,34,5,1703,227,17,2,1,2
001,35,1,1606,173,203,19,1,1
001,35,2,0,1790,0,19,1,1
001,35,3,1496,490,3,19,1,1
001,35,4,107,413,0,19,1,1
001,35,5,0,1343,0,19,1,1
001,36,1,0,1300,60,25,2,2
001,36,2,1197,670,30,25,2,2
001,36,3,257,0,0,25,2,2
001,36,4,83,0,43,25,2,2
001,36,5,380,0,23,25,2,2
001,37,1,820,0,30,32,2,1
001,37,2,210,1096,0,32,2,1
001,37,3,1240,477,20,32,2,1
001,37,4,1080,10,0,32,2,1
001,37,5,1476,0,0,32,2,1
001,38,1,397,1276,167,18,1,2
001,38,2,790,277,0,18,1,2
001,38,3,753,0,0,18,1,2
001,38,4,127,0,0,18,1,2
001,38,5,1343,0,0,18,1,2
