trial,AOI,pID,trial_ID,pair_type,target_loc,start,end,duration,entry_n
1,centre,001,58,neg_neut,2,8555,8925,370,5
1,centre,002,58,neg_neut,2,33,207,174,1
1,centre,003,58,neg_neut,2,0,380,380,1
1,centre,004,53,neg_neut,1,0,553,553,1
1,centre,006,58,neg_neut,2,400,583,183,1
1,centre,007,58,neg_neut,2,517,783,266,2
1,centre,008,58,neg_neut,2,0,437,437,1
1,centre,009,53,neg_neut,1,0,380,380,1
1,centre,010,58,neg_neut,2,0,317,317,1
1,centre,012,58,neg_neut,2,17,570,553,1
1,centre,014,58,neg_neut,2,0,333,333,1
1,centre,015,22,unj_neut,1,0,443,443,1
1,centre,016,58,neg_neut,2,0,193,193,1
1,centre,017,58,neg_neut,2,0,517,517,1
1,centre,018,48,neg_neut,2,0,363,363,1
1,centre,019,58,neg_neut,2,0,317,317,1
1,centre,021,58,neg_neut,2,0,180,180,1
1,centre,023,53,neg_neut,1,0,483,483,1
1,centre,024,53,neg_neut,1,0,337,337,1
1,centre,026,27,unj_neut,2,0,327,327,1
1,centre,027,27,unj_neut,2,0,223,223,1
1,centre,028,27,unj_neut,2,0,370,370,1
1,centre,030,27,unj_neut,2,0,280,280,1
1,centre,031,27,unj_neut,2,67,237,170,1
1,centre,032,22,unj_neut,1,0,317,317,1
1,centre,034,22,unj_neut,1,0,713,713,1
1,centre,035,27,unj_neut,2,0,267,267,1
1,centre,036,27,unj_neut,2,0,243,243,1
1,centre,037,27,unj_neut,2,0,203,203,1
1,centre,038,27,unj_neut,2,0,297,297,1
1,centre,040,27,unj_neut,2,0,240,240,1
1,centre,041,27,unj_neut,2,0,240,240,1
1,centre,042,17,unj_neg,1,283,627,344,1
1,centre,043,27,unj_neut,2,0,410,410,1
1,centre,044,27,unj_neut,2,0,280,280,1
1,centre,045,27,unj_neut,2,7652,7896,244,8
1,centre,046,27,unj_neut,2,0,313,313,1
1,centre,047,27,unj_neut,2,163,657,494,1
1,centre,048,17,unj_neg,1,0,187,187,1
1,centre,049,27,unj_neut,2,0,313,313,1
1,centre,051,17,unj_neg,1,0,283,283,1
1,centre,054,17,unj_neg,1,0,320,320,1
1,centre,055,17,unj_neg,1,0,283,283,1
1,centre,056,22,unj_neut,1,0,357,357,1
