pID,pair_type,AOI,timeOn
001,neg_neut,target,1426.5
001,neg_neut,nontarget,393
001,unj_neg,target,984.5
001,unj_neg,nontarget,897.3333333333334
001,unj_neut,target,1449.2307692307693
001,unj_neut,nontarget,787.5384615384615
002,neg_neut,target,541
002,neg_neut,nontarget,444
002,unj_neg,target,377.125
002,unj_neg,nontarget,849
002,unj_neut,target,694
002,unj_neut,nontarget,477.6875
003,neg_neut,target,834.7272727272727
003,neg_neut,nontarget,508.45454545454544
003,unj_neg,target,589.7333333333333
003,unj_neg,nontarget,746.8666666666667
003,unj_neut,target,520.4
003,unj_neut,nontarget,562
004,neg_neut,target,705.6111111111111
004,neg_neut,nontarget,487.44444444444446
004,unj_neg,target,593.7058823529412
004,unj_neg,nontarget,704.7058823529412
004,unj_neut,target,706.8421052631579
004,unj_neut,nontarget,545.5263157894736
006,neg_neut,target,1037.2
006,neg_neut,nontarget,519.7333333333333
006,unj_neg,target,648.5882352941177
006,unj_neg,nontarget,886.5294117647059
006,unj_neut,target,858.7142857142857
006,unj_neut,nontarget,609.7142857142857
007,neg_neut,target,1059.5
007,neg_neut,nontarget,1666.5
007,unj_neg,target,1615.5
007,unj_neg,nontarget,810.75
007,unj_neut,target,1312
007,unj_neut,nontarget,1228.6666666666667
008,neg_neut,target,1057.75
008,neg_neut,nontarget,564.125
008,unj_neg,target,1236.65
008,unj_neg,nontarget,1639.3
008,unj_neut,target,1455.5294117647059
008,unj_neut,nontarget,704
009,neg_neut,target,906.2352941176471
009,neg_neut,nontarget,1359.7058823529412
009,unj_neg,target,1200.4444444444443
009,unj_neg,nontarget,1514.4444444444443
009,unj_neut,target,1324.8666666666666
009,unj_neut,nontarget,1503.2666666666667
010,neg_neut,target,750.25
010,neg_neut,nontarget,762.5
010,unj_neg,target,741.1052631578947
010,unj_neg,nontarget,947.9473684210526
010,unj_neut,target,576.7222222222222
010,unj_neut,nontarget,1110.3333333333333
011,neg_neut,target,858
011,neg_neut,nontarget,488.1111111111111
011,unj_neg,target,1623
011,unj_neg,nontarget,776.6666666666666
011,unj_neut,target,910.4285714285714
011,unj_neut,nontarget,346.7142857142857
012,neg_neut,target,1038.2
012,neg_neut,nontarget,795.6
012,unj_neg,target,522.8333333333334
012,unj_neg,nontarget,647
012,unj_neut,target,575.6153846153846
012,unj_neut,nontarget,818.1538461538462
014,neg_neut,target,999.5263157894736
014,neg_neut,nontarget,934.2105263157895
014,unj_neg,target,921.6666666666666
014,unj_neg,nontarget,1108.9444444444443
014,unj_neut,target,1043.421052631579
014,unj_neut,nontarget,952.1052631578947
015,neg_neut,target,951.9166666666666
015,neg_neut,nontarget,791.9166666666666
015,unj_neg,target,1627.75
015,unj_neg,nontarget,833.5
015,unj_neut,target,530.6666666666666
015,unj_neut,nontarget,1013.8888888888889
016,neg_neut,target,1272.95
016,neg_neut,nontarget,602.3
016,unj_neg,target,1179.235294117647
016,unj_neg,nontarget,1483.235294117647
016,unj_neut,target,978.15
016,unj_neut,nontarget,1084.8
017,neg_neut,target,1248.9
017,neg_neut,nontarget,1020.6
017,unj_neg,target,1847.3
017,unj_neg,nontarget,1288.35
017,unj_neut,target,1674
017,unj_neut,nontarget,1129.3
018,neg_neut,target,1066.4666666666667
018,neg_neut,nontarget,827.6666666666666
018,unj_neg,target,974.4375
018,unj_neg,nontarget,1649.0625
018,unj_neut,target,1626.1875
018,unj_neut,nontarget,957.4375
019,neg_neut,target,804
019,neg_neut,nontarget,375.44444444444446
019,unj_neg,target,393.15384615384613
019,unj_neg,nontarget,796.9230769230769
019,unj_neut,target,1343.7692307692307
019,unj_neut,nontarget,531.7692307692307
020,neg_neut,target,353
