pID,pair_type,stimulus,meanEG
001,neg_neut,nontarget,3564
001,neg_neut,target,2993.65
001,unj_neg,nontarget,3954.35
001,unj_neg,target,3021.2
001,unj_neut,nontarget,4371.75
001,unj_neut,target,2515.3
002,neg_neut,nontarget,4479.8
002,neg_neut,target,3758
002,unj_neg,nontarget,5043.85
002,unj_neg,target,3624.7
002,unj_neut,nontarget,5387.1
002,unj_neut,target,3227.85
003,neg_neut,nontarget,4233.1
003,neg_neut,target,4202.25
003,unj_neg,nontarget,5012.6
003,unj_neg,target,3638.4
003,unj_neut,nontarget,5724.65
003,unj_neut,target,2971.15
004,neg_neut,nontarget,4577.4
004,neg_neut,target,3707.5
004,unj_neg,nontarget,4317.75
004,unj_neg,target,4087.65
004,unj_neut,nontarget,4717.9
004,unj_neut,target,3643.05
006,neg_neut,nontarget,5019
006,neg_neut,target,3617.35
006,unj_neg,nontarget,5163.15
006,unj_neg,target,3663.35
006,unj_neut,nontarget,5649.05
006,unj_neut,target,3338.7
007,neg_neut,nontarget,4934.65
007,neg_neut,target,3904.3
007,unj_neg,nontarget,4243.9
007,unj_neg,target,3868.9
007,unj_neut,nontarget,4910.1
007,unj_neut,target,3545.3
008,neg_neut,nontarget,5629.05
008,neg_neut,target,3198.9
008,unj_neg,nontarget,6052.65
008,unj_neg,target,3373.4
008,unj_neut,nontarget,6938.95
008,unj_neut,target,2280.25
009,neg_neut,nontarget,4688.2
009,neg_neut,target,4542.9
009,unj_neg,nontarget,4539.35
009,unj_neg,target,4589.6
009,unj_neut,nontarget,4611.3
009,unj_neut,target,4485.95
010,neg_neut,nontarget,5657.9
010,neg_neut,target,3564.6
010,unj_neg,nontarget,5464.8
010,unj_neg,target,3773.15
010,unj_neut,nontarget,5690.2
010,unj_neut,target,3500.45
011,neg_neut,nontarget,3514.7
011,neg_neut,target,2811.6
011,unj_neg,nontarget,3900.75
011,unj_neg,target,3025.35
011,unj_neut,nontarget,4379.95
011,unj_neut,target,2806.2
012,neg_neut,nontarget,3507.1
012,neg_neut,target,3751.2
012,unj_neg,nontarget,3963.7
012,unj_neg,target,3640.45
012,unj_neut,nontarget,3252.8
012,unj_neut,target,3945.35
014,neg_neut,nontarget,4383.85
014,neg_neut,target,3600.8
014,unj_neg,nontarget,4253.3
014,unj_neg,target,3952.4
014,unj_neut,nontarget,4809.05
014,unj_neut,target,3542.25
015,neg_neut,nontarget,4721.95
015,neg_neut,target,4129.2
015,unj_neg,nontarget,4590.75
015,unj_neg,target,4354.3
015,unj_neut,nontarget,4964.85
015,unj_neut,target,3687.7
016,neg_neut,nontarget,4514.75
016,neg_neut,target,3999.2
016,unj_neg,nontarget,4279.55
016,unj_neg,target,4643.8
016,unj_neut,nontarget,4280.15
016,unj_neut,target,4521.5
017,neg_neut,nontarget,5369.15
017,neg_neut,target,3866.25
017,unj_neg,nontarget,5274.05
017,unj_neg,target,3978.6
017,unj_neut,nontarget,5660
017,unj_neut,target,3500.3
018,neg_neut,nontarget,4716.9
018,neg_neut,target,3198.2
018,unj_neg,nontarget,3780.8
018,unj_neg,target,4839.05
018,unj_neut,nontarget,4792.55
018,unj_neut,target,3670
019,neg_neut,nontarget,4554.7
019,neg_neut,target,4375.35
019,unj_neg,nontarget,4484.45
019,unj_neg,target,4474.6
019,unj_neut,nontarget,5116
019,unj_neut,target,3905.05
020,neg_neut,nontarget,2365.65
020,neg_neut,target,1792.5
020,unj_neg,nontarget,2945.25
020,unj_neg,target,2228.1
020,unj_neut,nontarget,2422.75
020,unj_neut,target,2417.3
021,neg_neut,nontarget,3186.2
021,neg_neut,target,2940.25
021,unj_neg,nontarget,3556.7
021,unj_neg,target,3730.4
021,unj_neut,nontarget,4565.55
021,unj_neut,target,3436.55
022,neg_neut,nontarget,4940.8
022,neg_neut,target,3448.6
022,unj_neg,nontarget,4336.2
022,unj_neg,target,3940
022,unj_neut,nontarget,4931.75
022,unj_neut,target,3089.8
023,neg_neut,nontarget,3268.25
023,neg_neut,target,2898.05
023,unj_neg,nontarget,2591.35
023,unj_neg,target,2840.35
023,unj_neut,nontarget,3691.3
023,unj_neut,target,2155.65
024,neg_neut,nontarget,5476.95
024,neg_neut,target,3811.45
024,unj_neg,nontarget,4792.65
024,unj_neg,target,4525.3
024,unj_neut,nontarget,5913.7
024,unj_neut,target,3333.4
025,neg_neut,nontarget,4190.55
025,neg_neut,target,4243.65
025,unj_neg,nontarget,4320.6
025,unj_neg,target,3853.25
025,unj_neut,nontarget,5221.05
025,unj_neut,target,3417.45
026,neg_neut,nontarget,3281.8
026,neg_neut,target,4829.05
026,unj_neg,nontarget,3700.5
026,unj_neg,target,4445.65
026,unj_neut,nontarget,4014.05
026,unj_neut,target,4287.7
027,neg_neut,nontarget,4391.05
027,neg_neut,target,4603.45
027,unj_neg,nontarget,4919.7
027,unj_neg,target,3883.2
027,unj_neut,nontarget,5229.35
027,unj_neut,target,3668
028,neg_neut,nontarget,5274.75
028,neg_neut,target,3880.45
028,unj_neg,nontarget,4720.1
028,unj_neg,target,4389.2
028,unj_neut,nontarget,4032.55
028,unj_neut,target,5034.25
030,neg_neut,nontarget,5589.1
030,neg_neut,target,3308.3
030,unj_neg,nontarget,5442.1
030,unj_neg,target,3547.2
030,unj_neut,nontarget,5813
030,unj_neut,target,3060.3
031,neg_neut,nontarget,5166.65
031,neg_neut,target,3931.4
031,unj_neg,nontarget,5472.7
031,unj_neg,target,3682.35
031,unj_neut,nontarget,5203.9
031,unj_neut,target,3825.6
032,neg_neut,nontarget,5088.45
032,neg_neut,target,4178.75
032,unj_neg,nontarget,4587.55
032,unj_neg,target,4641.9
032,unj_neut,nontarget,4764.75
032,unj_neut,target,4375.4
034,neg_neut,nontarget,3817.2
034,neg_neut,target,4957
034,unj_neg,nontarget,4156.35
034,unj_neg,target,4777.6
034,unj_neut,nontarget,4944.4
034,unj_neut,target,3884.3
035,neg_neut,nontarget,5092.6
035,neg_neut,target,4057.5
035,unj_neg,nontarget,5436.25
035,unj_neg,target,3772.9
035,unj_neut,nontarget,6041.8
035,unj_neut,target,3022.05
036,neg_neut,nontarget,5629.95
036,neg_neut,target,2992.5
036,unj_neg,nontarget,3927.35
036,unj_neg,target,4839.3
036,unj_neut,nontarget,4964.55
036,unj_neut,target,3701.5
037,neg_neut,nontarget,5343.05
037,neg_neut,target,3812.55
037,unj_neg,nontarget,3927.65
037,unj_neg,target,4894.1
037,unj_neut,nontarget,3984.7
037,unj_neut,target,5035.75
