pID,pair_type,firstStim,n
001,neg_neut,nontarget,5
001,neg_neut,target,3
001,neg_neut,NA,12
001,unj_neg,nontarget,5
001,unj_neg,target,7
001,unj_neg,NA,8
001,unj_neut,nontarget,8
001,unj_neut,target,5
001,unj_neut,NA,7
002,neg_neut,nontarget,5
002,neg_neut,target,5
002,neg_neut,NA,10
002,unj_neg,nontarget,3
002,unj_neg,target,5
002,unj_neg,NA,12
002,unj_neut,nontarget,10
002,unj_neut,target,6
002,unj_neut,NA,4
003,neg_neut,nontarget,5
003,neg_neut,target,6
003,neg_neut,NA,9
003,unj_neg,nontarget,7
003,unj_neg,target,8
003,unj_neg,NA,5
003,unj_neut,nontarget,7
003,unj_neut,target,8
003,unj_neut,NA,5
004,neg_neut,nontarget,7
004,neg_neut,target,11
004,neg_neut,NA,2
004,unj_neg,nontarget,8
004,unj_neg,target,9
004,unj_neg,NA,3
004,unj_neut,nontarget,9
004,unj_neut,target,10
004,unj_neut,NA,1
006,neg_neut,nontarget,10
006,neg_neut,target,5
006,neg_neut,NA,5
006,unj_neg,nontarget,9
006,unj_neg,target,8
006,unj_neg,NA,3
006,unj_neut,nontarget,7
006,unj_neut,target,7
006,unj_neut,NA,6
007,neg_neut,nontarget,1
007,neg_neut,target,1
007,neg_neut,NA,18
007,unj_neg,nontarget,2
007,unj_neg,target,2
007,unj_neg,NA,16
007,unj_neut,nontarget,2
007,unj_neut,target,1
007,unj_neut,NA,17
008,neg_neut,nontarget,10
008,neg_neut,target,6
008,neg_neut,NA,4
008,unj_neg,nontarget,6
008,unj_neg,target,14
008,unj_neut,nontarget,9
008,unj_neut,target,8
008,unj_neut,NA,3
009,neg_neut,nontarget,6
009,neg_neut,target,11
009,neg_neut,NA,3
009,unj_neg,nontarget,10
009,unj_neg,target,8
009,unj_neg,NA,2
009,unj_neut,nontarget,7
009,unj_neut,target,8
009,unj_neut,NA,5
010,neg_neut,nontarget,8
010,neg_neut,target,8
010,neg_neut,NA,4
010,unj_neg,nontarget,8
010,unj_neg,target,11
010,unj_neg,NA,1
010,unj_neut,nontarget,7
010,unj_neut,target,11
010,unj_neut,NA,2
011,neg_neut,nontarget,5
011,neg_neut,target,4
011,neg_neut,NA,11
011,unj_neg,nontarget,2
011,unj_neg,target,1
011,unj_neg,NA,17
011,unj_neut,nontarget,5
011,unj_neut,target,2
011,unj_neut,NA,13
012,neg_neut,nontarget,6
012,neg_neut,target,4
012,neg_neut,NA,10
012,unj_neg,nontarget,5
012,unj_neg,target,7
012,unj_neg,NA,8
012,unj_neut,nontarget,6
012,unj_neut,target,7
012,unj_neut,NA,7
014,neg_neut,nontarget,10
014,neg_neut,target,9
014,neg_neut,NA,1
014,unj_neg,nontarget,6
014,unj_neg,target,12
014,unj_neg,NA,2
014,unj_neut,nontarget,8
014,unj_neut,target,11
014,unj_neut,NA,1
015,neg_neut,nontarget,6
015,neg_neut,target,6
015,neg_neut,NA,8
015,unj_neg,nontarget,9
015,unj_neg,target,3
015,unj_neg,NA,8
015,unj_neut,nontarget,3
015,unj_neut,target,6
015,unj_neut,NA,11
016,neg_neut,nontarget,13
016,neg_neut,target,7
016,unj_neg,nontarget,8
016,unj_neg,target,9
016,unj_neg,NA,3
016,unj_neut,nontarget,10
016,unj_neut,target,10
017,neg_neut,nontarget,8
017,neg_neut,target,12
017,unj_neg,nontarget,10
017,unj_neg,target,10
017,unj_neut,nontarget,10
017,unj_neut,target,10
018,neg_neut,nontarget,9
018,neg_neut,target,6
018,neg_neut,NA,5
018,unj_neg,nontarget,7
018,unj_neg,target,9
018,unj_neg,NA,4
018,unj_neut,nontarget,9
018,unj_neut,target,7
018,unj_neut,NA,4
019,neg_neut,nontarget,5
019,neg_neut,target,4
019,neg_neut,NA,11
019,unj_neg,nontarget,3
019,unj_neg,target,10
019,unj_neg,NA,7
019,unj_neut,nontarget,9
019,unj_neut,target,4
019,unj_neut,NA,7
020,neg_neut,target,1
020,neg_neut,NA,19
020,unj_neg,nontarget,4
020,unj_neg,target,1
020,unj_neg,NA,15
020,unj_neut,nontarget,1
020,unj_neut,target,4
020,unj_neut,NA,15
021,neg_neut,nontarget,5
021,neg_neut,target,4
021,neg_neut,NA,11
021,unj_neg,nontarget,5
021,unj_neg,target,4
021,unj_neg,NA,11
021,unj_neut,nontarget,7
021,unj_neut,target,5
021,unj_neut,NA,8
022,neg_neut,NA,20
022,unj_neg,nontarget,1
022,unj_neg,NA,19
022,unj_neut,NA,20
023,neg_neut,nontarget,3
023,neg_neut,target,5
023,neg_neut,NA,12
023,unj_neg,target,2
023,unj_neg,NA,18
023,unj_neut,nontarget,2
023,unj_neut,target,3
023,unj_neut,NA,15
024,neg_neut,nontarget,10
024,neg_neut,target,9
024,neg_neut,NA,1
024,unj_neg,nontarget,9
024,unj_neg,target,9
024,unj_neg,NA,2
024,unj_neut,nontarget,12
024,unj_neut,target,8
025,neg_neut,nontarget,8
025,neg_neut,target,8
025,neg_neut,NA,4
025,unj_neg,nontarget,7
025,unj_neg,target,9
025,unj_neg,NA,4
025,unj_neut,nontarget,12
025,unj_neut,target,6
025,unj_neut,NA,2
026,neg_neut,nontarget,4
026,neg_neut,target,8
026,neg_neut,NA,8
026,unj_neg,nontarget,4
026,unj_neg,target,10
026,unj_neg,NA,6
026,unj_neut,nontarget,7
026,unj_neut,target,9
026,unj_neut,NA,4
027,neg_neut,nontarget,8
027,neg_neut,target,5
027,neg_neut,NA,7
027,unj_neg,nontarget,6
027,unj_neg,target,6
027,unj_neg,NA,8
027,unj_neut,nontarget,7
027,unj_neut,target,6
027,unj_neut,NA,7
028,neg_neut,nontarget,11
028,neg_neut,target,9
028,unj_neg,nontarget,9
028,unj_neg,target,10
028,unj_neg,NA,1
028,unj_neut,nontarget,11
028,unj_neut,target,9
030,neg_neut,nontarget,10
030,neg_neut,target,9
030,neg_neut,NA,1
030,unj_neg,nontarget,9
030,unj_neg,target,11
030,unj_neut,nontarget,8
030,unj_neut,target,12
031,neg_neut,nontarget,8
031,neg_neut,target,5
031,neg_neut,NA,7
031,unj_neg,nontarget,4
031,unj_neg,target,8
031,unj_neg,NA,8
031,unj_neut,nontarget,7
031,unj_neut,target,7
031,unj_neut,NA,6
032,neg_neut,nontarget,11
032,neg_neut,target,8
032,neg_neut,NA,1
032,unj_neg,nontarget,8
032,unj_neg,target,12
032,unj_neut,nontarget,10
032,unj_neut,target,10
034,neg_neut,nontarget,10
034,neg_neut,target,10
034,unj_neg,nontarget,8
034,unj_neg,target,10
034,unj_neg,NA,2
034,unj_neut,nontarget,9
034,unj_neut,target,9
034,unj_neut,NA,2
035,neg_neut,nontarget,10
035,neg_neut,target,8
035,neg_neut,NA,2
035,unj_neg,nontarget,11
035,unj_neg,target,8
035,unj_neg,NA,1
035,unj_neut,nontarget,7
035,unj_neut,target,11
035,unj_neut,NA,2
036,neg_neut,nontarget,9
036,neg_neut,target,10
036,neg_neut,NA,1
036,unj_neg,nontarget,3
036,unj_neg,target,15
036,unj_neg,NA,2
036,unj_neut,nontarget,4
036,unj_neut,target,12
036,unj_neut,NA,4
037,neg_neut,nontarget,8
037,neg_neut,target,7
037,neg_neut,NA,5
037,unj_neg,nontarget,4
037,unj_neg,target,10
037,unj_neg,NA,6
037,unj_neut,nontarget,9
037,unj_neut,target,8
037,unj_neut,NA,3
038,neg_neut,nontarget,9
038,neg_neut,target,6
038,neg_neut,NA,5
038,unj_neg,nontarget,9
038,unj_neg,target,9
038,unj_neg,NA,2
038,unj_neut,nontarget,12
038,unj_neut,target,8
040,neg_neut,nontarget,8
040,neg_neut,target,9
040,neg_neut,NA,3
040,unj_neg,nontarget,6
040,unj_neg,target,5
040,unj_neg,NA,9
040,unj_neut,nontarget,6
040,unj_neut,target,11
040,unj_neut,NA,3
041,neg_neut,nontarget,8
041,neg_neut,target,10
041,neg_neut,NA,2
041,unj_neg,nontarget,5
041,unj_neg,target,11
041,unj_neg,NA,4
041,unj_neut,nontarget,7
041,unj_neut,target,8
041,unj_neut,NA,5
042,neg_neut,nontarget,6
042,neg_neut,target,10
042,neg_neut,NA,4
042,unj_neg,nontarget,9
042,unj_neg,target,10
042,unj_neg,NA,1
042,unj_neut,nontarget,4
042,unj_neut,target,14
042,unj_neut,NA,2
043,neg_neut,nontarget,7
043,neg_neut,target,6
043,neg_neut,NA,7
043,unj_neg,nontarget,7
043,unj_neg,target,8
043,unj_neg,NA,5
043,unj_neut,nontarget,10
043,unj_neut,target,5
043,unj_neut,NA,5
044,neg_neut,nontarget,7
044,neg_neut,target,7
044,neg_neut,NA,6
044,unj_neg,nontarget,7
044,unj_neg,target,6
044,unj_neg,NA,7
044,unj_neut,nontarget,6
044,unj_neut,target,5
044,unj_neut,NA,9
045,neg_neut,nontarget,7
045,neg_neut,target,7
045,neg_neut,NA,6
045,unj_neg,nontarget,11
045,unj_neg,target,5
045,unj_neg,NA,4
045,unj_neut,nontarget,7
045,unj_neut,target,8
045,unj_neut,NA,5
046,neg_neut,nontarget,7
046,neg_neut,target,7
046,neg_neut,NA,6
046,unj_neg,nontarget,8
046,unj_neg,target,5
046,unj_neg,NA,7
046,unj_neut,nontarget,8
046,unj_neut,target,10
046,unj_neut,NA,2
047,neg_neut,nontarget,5
047,neg_neut,target,6
047,neg_neut,NA,9
047,unj_neg,nontarget,7
047,unj_neg,target,3
047,unj_neg,NA,10
047,unj_neut,nontarget,8
047,unj_neut,target,7
047,unj_neut,NA,5
048,neg_neut,nontarget,7
048,neg_neut,target,9
048,neg_neut,NA,4
048,unj_neg,nontarget,7
048,unj_neg,target,9
048,unj_neg,NA,4
048,unj_neut,nontarget,6
048,unj_neut,target,6
048,unj_neut,NA,8
049,neg_neut,nontarget,8
049,neg_neut,target,11
049,neg_neut,NA,1
049,unj_neg,nontarget,9
049,unj_neg,target,6
049,unj_neg,NA,5
049,unj_neut,nontarget,8
049,unj_neut,target,9
049,unj_neut,NA,3
050,neg_neut,nontarget,4
050,neg_neut,target,5
050,neg_neut,NA,11
050,unj_neg,nontarget,3
050,unj_neg,target,4
050,unj_neg,NA,13
050,unj_neut,nontarget,7
050,unj_neut,target,3
050,unj_neut,NA,10
051,neg_neut,nontarget,3
051,neg_neut,target,5
051,neg_neut,NA,12
051,unj_neg,nontarget,3
051,unj_neg,target,9
051,unj_neg,NA,8
051,unj_neut,nontarget,5
051,unj_neut,target,6
051,unj_neut,NA,9
052,neg_neut,nontarget,7
052,neg_neut,target,4
052,neg_neut,NA,9
052,unj_neg,nontarget,6
052,unj_neg,target,9
052,unj_neg,NA,5
052,unj_neut,nontarget,9
052,unj_neut,target,4
052,unj_neut,NA,7
053,neg_neut,nontarget,9
053,neg_neut,target,10
053,neg_neut,NA,1
053,unj_neg,nontarget,7
053,unj_neg,target,13
053,unj_neut,nontarget,12
053,unj_neut,target,7
053,unj_neut,NA,1
054,neg_neut,nontarget,12
054,neg_neut,target,5
054,neg_neut,NA,3
054,unj_neg,nontarget,9
054,unj_neg,target,10
054,unj_neg,NA,1
054,unj_neut,nontarget,8
054,unj_neut,target,10
054,unj_neut,NA,2
055,neg_neut,nontarget,6
055,neg_neut,target,13
055,neg_neut,NA,1
055,unj_neg,nontarget,5
055,unj_neg,target,15
055,unj_neut,nontarget,12
055,unj_neut,target,7
055,unj_neut,NA,1
056,neg_neut,nontarget,8
056,neg_neut,target,11
056,neg_neut,NA,1
056,unj_neg,nontarget,9
056,unj_neg,target,8
056,unj_neg,NA,3
056,unj_neut,nontarget,9
056,unj_neut,target,10
056,unj_neut,NA,1
057,neg_neut,nontarget,9
057,neg_neut,target,7
057,neg_neut,NA,4
057,unj_neg,nontarget,4
057,unj_neg,target,13
057,unj_neg,NA,3
057,unj_neut,nontarget,11
057,unj_neut,target,7
057,unj_neut,NA,2
058,neg_neut,nontarget,11
058,neg_neut,target,8
058,neg_neut,NA,1
058,unj_neg,nontarget,8
058,unj_neg,target,11
058,unj_neg,NA,1
058,unj_neut,nontarget,7
058,unj_neut,target,10
058,unj_neut,NA,3
059,neg_neut,nontarget,9
059,neg_neut,target,8
059,neg_neut,NA,3
059,unj_neg,nontarget,6
059,unj_neg,target,11
059,unj_neg,NA,3
059,unj_neut,nontarget,8
059,unj_neut,target,9
059,unj_neut,NA,3
060,neg_neut,nontarget,4
060,neg_neut,target,7
060,neg_neut,NA,9
060,unj_neg,nontarget,5
060,unj_neg,target,4
060,unj_neg,NA,11
060,unj_neut,nontarget,5
060,unj_neut,target,5
060,unj_neut,NA,10
061,neg_neut,nontarget,9
061,neg_neut,target,10
061,neg_neut,NA,1
061,unj_neg,nontarget,7
061,unj_neg,target,12
061,unj_neg,NA,1
061,unj_neut,nontarget,8
061,unj_neut,target,11
061,unj_neut,NA,1
062,neg_neut,nontarget,3
062,neg_neut,target,2
062,neg_neut,NA,15
062,unj_neg,nontarget,3
062,unj_neg,target,5
062,unj_neg,NA,12
062,unj_neut,nontarget,3
062,unj_neut,target,1
062,unj_neut,NA,16
063,neg_neut,nontarget,5
063,neg_neut,target,7
063,neg_neut,NA,8
063,unj_neg,nontarget,6
063,unj_neg,target,9
063,unj_neg,NA,5
063,unj_neut,nontarget,9
063,unj_neut,target,6
063,unj_neut,NA,5
064,neg_neut,nontarget,8
064,neg_neut,target,8
064,neg_neut,NA,4
064,unj_neg,nontarget,5
064,unj_neg,target,10
064,unj_neg,NA,5
064,unj_neut,nontarget,10
064,unj_neut,target,7
064,unj_neut,NA,3
065,neg_neut,nontarget,11
065,neg_neut,target,3
065,neg_neut,NA,6
065,unj_neg,nontarget,8
065,unj_neg,target,9
065,unj_neg,NA,3
065,unj_neut,nontarget,11
065,unj_neut,target,8
065,unj_neut,NA,1
066,neg_neut,nontarget,8
066,neg_neut,target,8
066,neg_neut,NA,4
066,unj_neg,nontarget,10
066,unj_neg,target,8
066,unj_neg,NA,2
066,unj_neut,nontarget,8
066,unj_neut,target,9
066,unj_neut,NA,3
067,neg_neut,nontarget,8
067,neg_neut,target,9
067,neg_neut,NA,3
067,unj_neg,nontarget,9
067,unj_neg,target,8
067,unj_neg,NA,3
067,unj_neut,nontarget,9
067,unj_neut,target,10
067,unj_neut,NA,1
068,neg_neut,nontarget,10
068,neg_neut,target,7
068,neg_neut,NA,3
068,unj_neg,nontarget,4
068,unj_neg,target,11
068,unj_neg,NA,5
068,unj_neut,nontarget,6
068,unj_neut,target,12
068,unj_neut,NA,2
069,neg_neut,nontarget,9
069,neg_neut,target,11
069,unj_neg,nontarget,9
069,unj_neg,target,11
069,unj_neut,nontarget,8
069,unj_neut,target,12
070,neg_neut,nontarget,11
070,neg_neut,target,9
070,unj_neg,nontarget,10
070,unj_neg,target,9
070,unj_neg,NA,1
070,unj_neut,nontarget,11
070,unj_neut,target,8
070,unj_neut,NA,1
071,neg_neut,nontarget,7
071,neg_neut,target,10
071,neg_neut,NA,3
071,unj_neg,nontarget,6
071,unj_neg,target,12
071,unj_neg,NA,2
071,unj_neut,nontarget,10
071,unj_neut,target,10
072,neg_neut,nontarget,6
072,neg_neut,target,8
072,neg_neut,NA,6
072,unj_neg,nontarget,3
072,unj_neg,target,9
072,unj_neg,NA,8
072,unj_neut,nontarget,8
072,unj_neut,target,9
072,unj_neut,NA,3
073,neg_neut,nontarget,7
073,neg_neut,target,13
073,unj_neg,nontarget,6
073,unj_neg,target,14
073,unj_neut,nontarget,9
073,unj_neut,target,11
074,neg_neut,nontarget,11
074,neg_neut,target,8
074,neg_neut,NA,1
074,unj_neg,nontarget,8
074,unj_neg,target,7
074,unj_neg,NA,5
074,unj_neut,nontarget,9
074,unj_neut,target,6
074,unj_neut,NA,5
075,neg_neut,nontarget,5
075,neg_neut,target,5
075,neg_neut,NA,10
075,unj_neg,nontarget,4
075,unj_neg,target,3
075,unj_neg,NA,13
075,unj_neut,nontarget,6
075,unj_neut,target,9
075,unj_neut,NA,5
076,neg_neut,nontarget,9
076,neg_neut,target,9
076,neg_neut,NA,2
076,unj_neg,nontarget,11
076,unj_neg,target,9
076,unj_neut,nontarget,11
076,unj_neut,target,8
076,unj_neut,NA,1
077,neg_neut,nontarget,6
077,neg_neut,target,8
077,neg_neut,NA,6
077,unj_neg,nontarget,5
077,unj_neg,target,7
077,unj_neg,NA,8
077,unj_neut,nontarget,2
077,unj_neut,target,6
077,unj_neut,NA,12
078,neg_neut,nontarget,4
078,neg_neut,target,7
078,neg_neut,NA,9
078,unj_neg,nontarget,9
078,unj_neg,target,9
078,unj_neg,NA,2
078,unj_neut,nontarget,6
078,unj_neut,target,7
078,unj_neut,NA,7
079,neg_neut,nontarget,2
079,neg_neut,target,1
079,neg_neut,NA,17
079,unj_neg,nontarget,3
079,unj_neg,target,1
079,unj_neg,NA,16
079,unj_neut,nontarget,1
079,unj_neut,NA,19
080,neg_neut,nontarget,8
080,neg_neut,target,5
080,neg_neut,NA,7
080,unj_neg,nontarget,5
080,unj_neg,target,5
080,unj_neg,NA,10
080,unj_neut,nontarget,5
080,unj_neut,target,7
080,unj_neut,NA,8
081,neg_neut,nontarget,13
081,neg_neut,target,6
081,neg_neut,NA,1
081,unj_neg,nontarget,3
081,unj_neg,target,16
081,unj_neg,NA,1
081,unj_neut,nontarget,9
081,unj_neut,target,10
081,unj_neut,NA,1
083,neg_neut,nontarget,4
083,neg_neut,target,8
083,neg_neut,NA,8
083,unj_neg,nontarget,5
083,unj_neg,target,7
083,unj_neg,NA,8
083,unj_neut,nontarget,2
083,unj_neut,target,6
083,unj_neut,NA,12
084,neg_neut,nontarget,12
084,neg_neut,target,6
084,neg_neut,NA,2
084,unj_neg,nontarget,5
084,unj_neg,target,11
084,unj_neg,NA,4
084,unj_neut,nontarget,8
084,unj_neut,target,7
084,unj_neut,NA,5
085,neg_neut,nontarget,3
085,neg_neut,target,6
085,neg_neut,NA,11
085,unj_neg,nontarget,3
085,unj_neg,target,1
085,unj_neg,NA,16
085,unj_neut,nontarget,2
085,unj_neut,NA,18
086,neg_neut,nontarget,10
086,neg_neut,target,9
086,neg_neut,NA,1
086,unj_neg,nontarget,12
086,unj_neg,target,8
086,unj_neut,nontarget,9
086,unj_neut,target,11
087,neg_neut,nontarget,3
087,neg_neut,target,2
087,neg_neut,NA,15
087,unj_neg,nontarget,2
087,unj_neg,target,2
087,unj_neg,NA,16
087,unj_neut,nontarget,2
087,unj_neut,target,3
087,unj_neut,NA,15
092,neg_neut,nontarget,5
092,neg_neut,target,4
092,neg_neut,NA,11
092,unj_neg,nontarget,5
092,unj_neg,target,6
092,unj_neg,NA,9
092,unj_neut,nontarget,4
092,unj_neut,target,2
092,unj_neut,NA,14
093,neg_neut,nontarget,12
093,neg_neut,target,8
093,unj_neg,nontarget,11
093,unj_neg,target,8
093,unj_neg,NA,1
093,unj_neut,nontarget,11
093,unj_neut,target,8
093,unj_neut,NA,1
094,neg_neut,nontarget,6
094,neg_neut,target,5
094,neg_neut,NA,9
094,unj_neg,nontarget,2
094,unj_neg,target,9
094,unj_neg,NA,9
094,unj_neut,nontarget,8
094,unj_neut,target,6
094,unj_neut,NA,6
095,neg_neut,nontarget,10
095,neg_neut,target,10
095,unj_neg,nontarget,8
095,unj_neg,target,12
095,unj_neut,nontarget,7
095,unj_neut,target,13
096,neg_neut,nontarget,6
096,neg_neut,target,6
096,neg_neut,NA,8
096,unj_neg,nontarget,6
096,unj_neg,target,9
096,unj_neg,NA,5
096,unj_neut,nontarget,5
096,unj_neut,target,8
096,unj_neut,NA,7
097,neg_neut,nontarget,9
097,neg_neut,target,11
097,unj_neg,nontarget,8
097,unj_neg,target,12
097,unj_neut,nontarget,10
097,unj_neut,target,8
097,unj_neut,NA,2
098,neg_neut,nontarget,7
098,neg_neut,target,5
098,neg_neut,NA,8
098,unj_neg,nontarget,6
098,unj_neg,target,6
098,unj_neg,NA,8
098,unj_neut,nontarget,4
098,unj_neut,target,7
098,unj_neut,NA,9
099,neg_neut,nontarget,12
099,neg_neut,target,7
099,neg_neut,NA,1
099,unj_neg,nontarget,8
099,unj_neg,target,12
099,unj_neut,nontarget,8
099,unj_neut,target,10
099,unj_neut,NA,2
101,neg_neut,nontarget,2
101,neg_neut,target,3
101,neg_neut,NA,15
101,unj_neg,nontarget,2
101,unj_neg,target,1
101,unj_neg,NA,17
101,unj_neut,nontarget,1
101,unj_neut,target,6
101,unj_neut,NA,13
102,neg_neut,nontarget,12
102,neg_neut,target,6
102,neg_neut,NA,2
102,unj_neg,nontarget,5
102,unj_neg,target,12
102,unj_neg,NA,3
102,unj_neut,nontarget,8
102,unj_neut,target,8
102,unj_neut,NA,4
103,neg_neut,nontarget,4
103,neg_neut,target,4
103,neg_neut,NA,12
103,unj_neg,nontarget,5
103,unj_neg,target,6
103,unj_neg,NA,9
103,unj_neut,nontarget,3
103,unj_neut,target,7
103,unj_neut,NA,10
NA,NA,NA,41
