pID,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
080,2,10,4,5,25,38,39,24,15,47
073,7,15,9,10,30,43,44,29,5,20
079,12,20,2,14,15,35,48,49,34,10
083,12,20,2,14,15,35,48,49,34,10
042,17,25,7,19,20,40,53,1,54,39
048,17,25,7,19,20,40,53,1,54,39
051,17,25,7,19,20,40,53,1,54,39
052,17,25,7,19,20,40,53,1,54,39
054,17,25,7,19,20,40,53,1,54,39
055,17,25,7,19,20,40,53,1,54,39
071,17,25,7,19,20,40,53,1,54,39
072,17,25,7,19,20,40,53,1,54,39
076,17,25,7,19,20,40,53,1,54,39
084,17,25,7,19,20,40,53,1,54,39
085,17,25,7,19,20,40,53,1,54,39
098,17,25,7,19,20,40,53,1,54,39
015,22,11,31,47,53,12,51,19,23,17
032,22,30,12,24,25,45,58,6,59,1
034,22,30,12,24,25,45,58,6,59,1
056,22,30,12,24,25,45,58,6,59,1
058,22,30,12,24,25,45,58,6,59,1
060,22,30,12,24,25,45,58,6,59,1
062,22,30,12,24,25,45,58,6,59,1
067,22,30,12,24,25,45,58,6,59,1
070,22,30,12,24,25,45,58,6,59,1
074,22,30,12,24,25,45,58,6,59,1
078,22,30,12,24,25,45,58,6,59,1
081,22,30,12,24,25,45,58,6,59,1
092,22,30,12,24,25,45,58,6,59,1
093,22,30,12,24,25,45,58,6,59,1
095,22,30,12,24,25,45,58,6,59,1
101,22,30,12,24,25,45,58,6,59,1
102,22,30,12,24,25,45,58,6,59,1
025,27,35,17,29,30,1,50,11,6,49
026,27,35,17,29,30,1,50,11,6,49
027,27,35,17,29,30,1,50,11,6,49
028,27,35,17,29,30,1,50,11,6,49
030,27,35,17,29,30,1,50,11,6,49
031,27,35,17,29,30,1,50,11,6,49
035,27,35,17,29,30,1,50,11,6,49
036,27,35,17,29,30,1,50,11,6,49
037,27,35,17,29,30,1,50,11,6,49
038,27,35,17,29,30,1,50,11,6,49
040,27,35,17,29,30,1,50,11,6,49
041,27,35,17,29,30,1,50,11,6,49
043,27,35,17,29,30,1,50,11,6,49
044,27,35,17,29,30,1,50,11,6,49
045,27,35,17,29,30,1,50,11,6,49
046,27,35,17,29,30,1,50,11,6,49
047,27,35,17,29,30,1,50,11,6,49
049,27,35,17,29,30,1,50,11,6,49
050,27,35,17,29,30,1,50,11,6,49
053,27,35,17,29,30,1,50,11,6,49
057,27,35,17,29,30,1,50,11,6,49
059,27,35,17,29,30,1,50,11,6,49
061,27,35,17,29,30,1,50,11,6,49
063,27,35,17,29,30,1,50,11,6,49
064,27,35,17,29,30,1,50,11,6,49
065,27,35,17,29,30,1,50,11,6,49
066,27,35,17,29,30,1,50,11,6,49
068,27,35,17,29,30,1,50,11,6,49
069,27,35,17,29,30,1,50,11,6,49
075,27,35,17,29,30,1,50,11,6,49
077,27,35,17,29,30,1,50,11,6,49
086,27,35,17,29,30,1,50,11,6,49
087,27,35,17,29,30,1,50,11,6,49
094,27,35,17,29,30,1,50,11,6,49
096,27,35,17,29,30,1,50,11,6,49
097,27,35,17,29,30,1,50,11,6,49
099,27,35,17,29,30,1,50,11,6,49
103,27,35,17,29,30,1,50,11,6,49
020,43,19,12,11,39,32,47,41,16,56
018,48,24,17,16,44,37,52,46,21,60
004,53,29,22,21,49,42,57,51,26,45
009,53,29,22,21,49,42,57,51,26,45
023,53,29,22,21,49,42,57,51,26,45
024,53,29,22,21,49,42,57,51,26,45
001,58,34,27,26,54,47,56,31,3,4
002,58,34,27,26,54,47,56,31,3,4
003,58,34,27,26,54,47,56,31,3,4
006,58,34,27,26,54,47,56,31,3,4
007,58,34,27,26,54,47,56,31,3,4
008,58,34,27,26,54,47,56,31,3,4
010,58,34,27,26,54,47,56,31,3,4
011,58,34,27,26,54,47,56,31,3,4
012,58,34,27,26,54,47,56,31,3,4
014,58,34,27,26,54,47,56,31,3,4
016,58,34,27,26,54,47,56,31,3,4
017,58,34,27,26,54,47,56,31,3,4
019,58,34,27,26,54,47,56,31,3,4
021,58,34,27,26,54,47,56,31,3,4
022,58,34,27,26,54,47,56,31,3,4
